Date,URL
January 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/05/january-2020-minutes.pdf
February 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/02-February-2020-Minutes-final-w.record.pdf
March 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/03-March-2020-Minutes-final-w.record.pdf
May 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/05-May-2020-Minutes-final-w.record.pdf
June 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/06-June-2020-Minutes-final-w.record.pdf
July 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/07-July-2020-Minutes-final-w.record.pdf
September 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/09-September-2020-Minutes-w.record.pdf
October 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/12/10-October-2020-Minutes-final-w.record-1.pdf
November 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/12/11-November-2020-Minutes-final-w.record.pdf
December 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/03/December-2020-Full-Board-Minutes-Final.pdf
January 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/05/january-2019-minutes.pdf
February 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/february_2019/february-2019-minutes.pdf
March 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/march-2019/march-2019-minutes.pdf
April 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/april-2019/april-2019-minutes.pdf
May 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/may-2019/may_2019_minutes.pdf
June 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/june-2019/june-2019-minutes.pdf
July 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/july-2019/july-2019-minutes.pdf
September 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/september-2019/september-2019-fb-minutes.pdf
October 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/october-2019/october-2019-minutes.pdf
November 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2019-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/november-2019/november-2019-minutes.pdf
December 2019 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/05/december-2019-fb-minutes.pdf
January 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/january_2018_minutes_-_final.pdf
February 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/february_2018_minutes.pdf
March 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/March_2018_Minutes-FINAL.pdf
April 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/April-2018-minutes-final.pdf
May 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/June-2018/May-2018-minutes-FINAL.pdf
June 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/June-2018/june_2018_minutes_final.pdf
July 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/july2018/07_july_2018_minutes_final.pdf
September 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/sept_2018/september-2018-minutes.pdf
October 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/october-2018/october-2018-minutes.pdf
November 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/november-2018/cb4-full-board-november-2018-minutes.pdf
December 2018 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/archives/2018-full-board-minutes-audio//cb4/wp-content/uploads/sites/10/downloads/pdf/december-2018/december-2018-minutes.pdf
