Date,URL
2025 January 2025,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/25-01-28.pdf
2025 February 2025,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/25-02-25.pdf
2024 January 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-01-23.pdf
2024 February 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-02-27.pdf
2024 March 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-03-26.pdf
2024 April 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-04-30.pdf
2024 May 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-05-28.pdf
2024 June 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-06-25.pdf
2024 July 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-07-23.pdf
2024 September 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-09-24.pdf
2024 October 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-10-22.pdf
2024 November 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-11-25.pdf
2024 December 2024,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/24-12-19.pdf
2023 January 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-01-24.pdf
2023 February 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-02-28.pdf
2023 March 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-03-28.pdf
2023 April 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-04-25.pdf
2023 May 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-05-23.pdf
2023 June 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-06-27.pdf
2023 July 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-07-25.pdf
2023 September 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-09-26.pdf
2023 October 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-10-24.pdf
2023 November 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-11-28.pdf
2023 December 2023,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/23-12-20.pdf
2022 January 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-1-25.pdf
2022 February 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-02-22.pdf
2022 March 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-03-22.pdf
2022 April 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-04-26.pdf
2022 May 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-05-24.pdf
2022 June 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-06-28.pdf
2022 July 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-07-26.pdf
2022 September 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-09-27.pdf
2022 October 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-10-25.pdf
2022 November 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-11-22.pdf
2022 December 2022,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/22-12-21.pdf
2021 January 26,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-01-26.pdf
2021 February 23,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-02-23.pdf
2021 March 23,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-03-23.pdf
2021 April 27,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-04-27.pdf
2021 May 25,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-05-25.pdf
2021 June 22,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-06-22.pdf
2021 July 27,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-07-27.pdf
2021 September 30,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-09-28.pdf
2021 October 26,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-10-26.pdf
2021 November 23,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-11-23.pdf
2021 December 21,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/21-12-21.pdf
2020 January 28,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-01-28.pdf
2020 February 25,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-02-25.pdf
2020 March 24,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-03-24.pdf
2020 April 28,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-04-28.pdf
2020 May 26,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-05-26.pdf
2020 June 23,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-06-23.pdf
2020 July 28,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-07-28.pdf
2020 September 22,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-09-22.pdf
2020 October 27,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-10-27.pdf
2020 November 24,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-11-24.pdf
2020 December 22,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/20-12-22.pdf
2019 January 22,https://www.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/19-01-22.pdf
