Text,URL
May 22,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-05-22.pdf
June 26,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-06-26.pdf
July 31,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-07-31.pdf
September 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/18-09-25.pdf
October 23,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-10-23.pdf
November 27,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-11-27.pdf
January 24,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-01-24.pdf
February 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/12-02-28.pdf
March 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-03-28.pdf
April 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-04-25.pdf
May 23,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-05-23.pdf
June 27,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-06-27.pdf
July 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_06-07-25.pdf
September 26,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-09-26.pdf
October 24,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-10-24.pdf
November 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/17-11-28.pdf
March 22,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-03-22.pdf
April 26,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-04-26.pdf
May 24,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-05-24.pdf
June 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-06-28.pdf
July 26,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-07-26.pdf
September 27,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-09-27.pdf
October 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-10-25.pdf
November 22,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-11-22.pdf
February 5,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/jan-2015.pdf
February 24,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_09-02-24.pdf
November 19,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/15-11-19.pdf
December 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/15-12-17.pdf
March 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_04-03-25.pdf
April 29,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/05-27-14.pdf
May 27,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-05-27.pdf
June 24,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-06-24.pdf
July 29,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-07-29.pdf
September 23,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-09-23.pdf
October 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-10-28.pdf
November 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-11-20.pdf
December 18,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-12-18.pdf
September 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_05-09-20.pdf
January 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-01-25.pdf
February 22,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/11-02-22.pdf
September 28,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/10-09-28.pdf
December 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_03-12-16.pdf
January 27,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_09-01-27.pdf
June 30,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_09-06-30.pdf
December 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/09-12-15.pdf
January 15,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-01-15.pdf
April 22,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-04-22.pdf
November 25,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_08-11-25.pdf
January 16,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-01-16.pdf
February 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-02-20.pdf
March 20,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-03-20.pdf
April 17,/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/FBM_Minutes_07-04-17.pdf
